Wall time,Step,Value
1591677921,2010000,11.85018158
1591677984,2020000,10.18607712
1591678047,2030000,11.06649971
1591678109,2040000,6.917666912
1591678174,2050000,5.091916561
1591678237,2060000,9.61400032
1591678299,2070000,7.400647163
1591678362,2080000,7.398105145
1591678425,2090000,5.118091106
1591678488,2100000,6.151850224
1591678551,2110000,9.635643005
1591678612,2120000,6.260315895
1591678675,2130000,6.373941422
1591678741,2140000,8.491412163
1591678805,2150000,5.549631596
1591678868,2160000,9.467071533
1591678928,2170000,6.441333294
1591678991,2180000,13.44127274
1591679054,2190000,6.424350262
1591679117,2200000,6.721944332
1591679180,2210000,6.492499828
1591679243,2220000,4.370307922
1591679305,2230000,5.729499817
1591679367,2240000,7.554375172
1591679429,2250000,8.629133224
1591679493,2260000,3.444906235
1591679555,2270000,5.041124821
1591679617,2280000,5.227227211
1591679679,2290000,9.651785851
1591679743,2300000,7.744823456
1591679805,2310000,8.143187523
1591679867,2320000,7.614882469
1591679929,2330000,5.347826004
1591679991,2340000,9.325385094
1591680053,2350000,9.412733078
1591680116,2360000,10.40600014
1591680179,2370000,4.707208157
1591680241,2380000,9.441214561
1591680300,2390000,9.741846085
1591680366,2400000,5.927571297
1591680426,2410000,10.95466709
1591680489,2420000,9.134857178
1591680551,2430000,5.882047653
1591680613,2440000,10.57849979
1591680674,2450000,11.82158375
1591680738,2460000,6.535889149
1591680800,2470000,12.08033371
1591680862,2480000,10.1651535
1591680924,2490000,8.369999886
1591680989,2500000,12.55481815
1591681050,2510000,11.02124977
1591681112,2520000,8.769399643
1591681174,2530000,5.874315739
1591681236,2540000,11.47281837
1591681298,2550000,8.976933479
1591681362,2560000,6.449999809
1591681424,2570000,7.240125179
1591681486,2580000,8.739125252
1591681548,2590000,9.075154305
1591681612,2600000,7.567706108
1591681673,2610000,9.115571022
1591681736,2620000,11.98154545
1591681798,2630000,10.02099991
1591681860,2640000,11.49400043
1591681922,2650000,9.507266998
1591681984,2660000,8.609384537
1591682047,2670000,10.26642895
1591682111,2680000,9.131615639
1591682173,2690000,6.536849976
1591682234,2700000,10.19716644
1591682298,2710000,8.172400475
1591682359,2720000,6.308888912
1591682419,2730000,7.498823643
1591682482,2740000,9.175800323
1591682544,2750000,17.28924942
1591682606,2760000,12.22274971
1591682668,2770000,4.843304157
1591682730,2780000,5.674541473
1591682793,2790000,10.10638428
1591682856,2800000,9.45207119
1591682918,2810000,9.170214653
1591682980,2820000,10.75938511
1591683043,2830000,7.409312725
1591683105,2840000,10.92616653
1591683167,2850000,13.26000023
1591683231,2860000,7.643388748
1591683293,2870000,6.439666748
1591683352,2880000,8.53979969
1591683416,2890000,5.272318363
1591683476,2900000,8.306799889
1591683540,2910000,13.47949982
1591683603,2920000,12.91100025
1591683665,2930000,8.607786179
1591683726,2940000,11.73133373
1591683790,2950000,9.10135746
1591683854,2960000,15.4165554
1591683914,2970000,16.64949989
1591683978,2980000,11.4677496
1591684042,2990000,10.66771412
1591684104,3000000,10.69900036
1591684167,3010000,10.10400009
1591684229,3020000,11.18028545
1591684290,3030000,13.88700008
1591684354,3040000,9.650933266
1591684416,3050000,11.36809063
1591684480,3060000,13.06827259
1591684541,3070000,14.12390041
1591684602,3080000,9.483142853
1591684664,3090000,12.97654533
1591684725,3100000,13.0005455
1591684790,3110000,11.12524986
1591684851,3120000,12.7432003
1591684913,3130000,8.982600212
1591684974,3140000,12.06366634
1591685036,3150000,10.49618149
1591685100,3160000,6.737900257
1591685162,3170000,12.44463634
1591685225,3180000,15.25269985
1591685287,3190000,8.289937973
1591685351,3200000,12.72336388
1591685413,3210000,9.714142799
1591685475,3220000,8.888235092
1591685537,3230000,9.722846031
1591685599,3240000,14.24481869
1591685660,3250000,10.18000031
1591685724,3260000,16.90374947
1591685787,3270000,13.99240017
1591685847,3280000,8.49450016
1591685908,3290000,6.918055534
1591685970,3300000,9.001333237
1591686037,3310000,9.215857506
1591686096,3320000,10.98591709
1591686159,3330000,8.635071754
1591686221,3340000,20.24314308
1591686285,3350000,15.66139984
1591686347,3360000,11.93736362
1591686409,3370000,7.632055759
1591686471,3380000,11.1875
1591686533,3390000,14.82411098
1591686595,3400000,11.3320837
1591686659,3410000,8.287687302
1591686721,3420000,14.00660038
1591686784,3430000,11.49846172
1591686844,3440000,10.89645481
1591686905,3450000,10.56061554
1591686969,3460000,14.32463646
1591687031,3470000,21.16628647
1591687093,3480000,7.986411572
1591687155,3490000,6.783800125
1591687217,3500000,13.04870033
1591687278,3510000,7.104736805
1591687331,3520000,10.15858364
1591687385,3530000,10.19042873
1591687439,3540000,8.703800201
1591687492,3550000,11.95027256
1591687548,3560000,10.13423061
1591687602,3570000,10.9282856
1591687656,3580000,9.724499702
1591687710,3590000,10.8777504
1591687763,3600000,15.14366722
1591687818,3610000,9.361642838
1591687872,3620000,10.56038475
1591687926,3630000,12.69072723
1591687980,3640000,9.083428383
1591688035,3650000,9.05526638
1591688088,3660000,9.259785652
1591688142,3670000,12.42136383
1591688196,3680000,17.24550056
1591688249,3690000,11.14799976
1591688305,3700000,13.30379963
1591688358,3710000,11.58241653
1591688411,3720000,17.06612587
1591688465,3730000,11.98058319
1591688519,3740000,18.79371452
1591688572,3750000,7.843389034
1591688628,3760000,10.99050045
1591688681,3770000,12.29445457
1591688735,3780000,11.40966702
1591688789,3790000,19.00124931
1591688842,3800000,12.12627316
1591688897,3810000,13.61263657
1591688951,3820000,11.55916691
1591689004,3830000,11.05191708
1591689058,3840000,12.29754543
1591689115,3850000,8.399687767
1591689177,3860000,10.62092876
1591689238,3870000,9.884666443
1591689300,3880000,16.87649918
1591689360,3890000,11.8083849
1591689424,3900000,8.645933151
1591689486,3910000,13.81400013
1591689548,3920000,20.6255722
1591689610,3930000,13.77190018
1591689671,3940000,14.26420021
1591689735,3950000,13.28610039
1591689797,3960000,8.972066879
1591689859,3970000,18.1936245
1591689921,3980000,7.74294138
1591689983,3990000,13.51309967
1591690045,4000000,10.40107727
