Wall time,Step,Value
1588742353,10000,-0.005489579
1588742414,20000,-0.152027518
1588742475,30000,-0.008061851
1588742537,40000,-0.019577315
1588742598,50000,0.034865983
1588742658,60000,0.177494511
1588742719,70000,0.297188252
1588742780,80000,0.486405075
1588742839,90000,0.494518071
1588742901,100000,0.539810121
1588742961,110000,0.740635157
1588743023,120000,0.736519516
1588743085,130000,0.769150674
1588743145,140000,0.745690167
1588743208,150000,0.504506171
1588743269,160000,0.87553525
1588743328,170000,0.675551295
1588743390,180000,0.943953872
1588743451,190000,1.047454596
1588743513,200000,0.949203134
1588743574,210000,0.864746273
1588743634,220000,0.866138458
1588743693,230000,0.823714316
1588743755,240000,1.156847477
1588743816,250000,0.868941188
1588743876,260000,0.601958334
1588743937,270000,0.719458342
1588743998,280000,0.524560034
1588744059,290000,0.408445776
1588744121,300000,0.845406234
1588744181,310000,0.842910469
1588744242,320000,0.996031761
1588744303,330000,0.531538486
1588744364,340000,0.884555578
1588744426,350000,0.897046149
1588744487,360000,0.96519357
1588744548,370000,0.807927549
1588744608,380000,0.716657162
1588744667,390000,0.776514709
1588744729,400000,0.680999994
1588744789,410000,1.220981479
1588744849,420000,1.006049991
1588744910,430000,0.944419384
1588744971,440000,1.095187545
1588745033,450000,0.968843758
1588745093,460000,1.185163975
1588745154,470000,1.035030723
1588745214,480000,1.391763687
1588745275,490000,1.363611102
1588745338,500000,0.727808237
1588745397,510000,1.30612731
1588745459,520000,1.41716671
1588745520,530000,2.367428541
1588745582,540000,1.964521766
1588745644,550000,2.440842152
1588745703,560000,2.815583467
1588745763,570000,1.805088878
1588745824,580000,2.390317202
1588745884,590000,1.95921278
1588745947,600000,2.192738056
1588746008,610000,3.101799965
1588746068,620000,1.991420031
1588746129,630000,3.03754282
1588746189,640000,2.695641041
1588746251,650000,2.227255821
1588746309,660000,2.158863544
1588746370,670000,1.885857105
1588746431,680000,1.950807691
1588746492,690000,2.161534786
1588746554,700000,2.72628212
1588746615,710000,2.643868446
1588746675,720000,2.277095318
1588746736,730000,2.118857145
1588746796,740000,3.591742039
1588746858,750000,2.689459562
1588746918,760000,3.108382463
1588746979,770000,2.807842016
1588747039,780000,2.340069771
1588747100,790000,1.684480786
1588747162,800000,2.637055635
1588747220,810000,2.666473627
1588747282,820000,2.274581432
1588747344,830000,4.294439793
1588747404,840000,5.972714424
1588747464,850000,3.641903162
1588747525,860000,2.963735342
1588747585,870000,5.792850018
1588747645,880000,4.544307709
1588747706,890000,4.394111156
1588747768,900000,4.134285927
1588747828,910000,2.894599915
1588747889,920000,3.65631032
1588747949,930000,3.192250013
1588748010,940000,3.987035751
1588748073,950000,3.25235486
1588748133,960000,2.393450022
1588748194,970000,3.173187494
1588748254,980000,3.570533276
1588748315,990000,3.919037104
1588748374,1000000,3.709034443
1588748437,1010000,2.769485712
1588748496,1020000,4.27342844
1588748558,1030000,3.335548401
1588748617,1040000,3.063058853
1588748679,1050000,3.760068893
1588748739,1060000,4.549875259
1588748800,1070000,7.632500172
1588748860,1080000,6.742750168
1588748921,1090000,5.664181709
1588748983,1100000,7.769437313
1588749044,1110000,8.113562584
1588749103,1120000,5.604849815
1588749163,1130000,2.91306448
1588749224,1140000,2.854638815
1588749286,1150000,4.075153828
1588749347,1160000,3.095266581
1588749405,1170000,3.843222141
1588749467,1180000,3.86313796
1588749527,1190000,5.946368694
1588749588,1200000,6.101105213
1588749648,1210000,4.321961403
1588749709,1220000,5.844749928
1588749770,1230000,5.942349911
1588749830,1240000,6.479833603
1588749892,1250000,6.001349926
1588749953,1260000,4.494080067
1588750014,1270000,4.338600159
1588750074,1280000,3.110312462
1588750134,1290000,5.584149837
1588750197,1300000,8.022933006
1588750257,1310000,4.347458363
1588750316,1320000,8.160124779
