Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.0977992,-0.05460605668868267,98.97979797979798,-0.7078347,-0.05572446074564846
20000,1.0952685,0.0384479209157386,100.20833333333333,-0.6594232,0.03861856134128325
30000,1.0903226,-0.06729896483851654,102.50515463917526,-0.4687977,-0.06729897219188434
40000,1.0768535,0.12061538934902094,108.05494505494505,-0.36705112,0.12061536905693483
50000,1.0529172,0.2741829324045173,118.63414634146342,-0.34673506,0.27418293741321553
60000,1.0326327,0.6425277850276971,137.38888888888889,-0.2249786,0.6425277890327076
70000,1.0241859,0.7175915573484225,138.01408450704224,-0.14423628,0.7175915623214882
80000,0.991267,0.61663158630989,128.6184210526316,-0.038814213,0.6166315947316194
90000,0.9712946,0.3905681882328777,112.5340909090909,-0.013677113,0.4058850657344721
100000,0.9562717,0.4594268359658422,118.84146341463415,0.0062987185,0.4425421939736389
110000,0.97302806,0.8647727363383059,148.74242424242425,0.046061933,0.8647727250883525
120000,0.94878644,0.585958912238249,133.46575342465752,0.07177723,0.5859589047525844
130000,0.9507943,0.6958591633273,138.30985915492957,0.087625965,0.6958591716075447
140000,0.97015226,0.8848030393428141,150.56060606060606,0.09714951,0.9123846182456383
150000,0.9724012,1.1175833430606872,159.66666666666666,0.2061834,1.0843770566289541
160000,0.96251416,0.7245479533672078,135.32876712328766,0.2696779,0.7245479405742802
170000,0.96300465,0.8966567254461932,146.11940298507463,0.21186666,0.8966567370651374
180000,0.9788649,0.8315652259271187,142.0,0.18988515,0.8315652554881745
190000,0.9922564,0.9686129132300736,159.69354838709677,0.20703724,0.9686128671371168
200000,0.9869531,0.7413970675346825,145.7941176470588,0.23496626,0.7658059709330103
210000,0.9636563,0.987573780306447,159.11475409836066,0.30879104,0.9572258302040638
220000,0.98394173,1.0285593318808193,152.4406779661017,0.28202957,1.028559362989361
230000,0.98384446,1.2648500118540444,177.0,0.39897066,1.2648499914755424
240000,0.9773207,0.9394127088063027,157.0,0.40999624,0.9514193544464726
250000,0.97620016,1.2741296418588954,180.3148148148148,0.467157,1.254509090835398
