Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
400000,0.7727057,0.9164603,0.08892335,0.02593916,0.0002412672,2241.018023862038,389321.0,2241.0179956376087
410000,0.7384528,0.91585237,0.081475906,0.023336546,0.00023972445,None,None,None
420000,0.6840164,0.93731457,0.08161437,0.019094905,0.00023817887,None,None,None
430000,0.7013202,0.933271,0.08674745,0.025039935,0.00023663328,None,None,None
440000,0.7382476,0.9245841,0.0821478,0.021655837,0.00023508767,None,None,None
450000,0.7561957,0.9304346,0.0800498,0.023413463,0.00023354212,None,None,None
460000,0.7802507,0.92014235,0.076544255,0.025938302,0.00023199651,None,None,None
470000,0.78603786,0.9090573,0.07834303,0.022837851,0.00023045094,None,None,None
480000,0.7881347,0.9050366,0.08282489,0.025865875,0.00022890528,None,None,None
490000,0.8175418,0.908773,0.07807194,0.026063388,0.00022735965,None,None,None
500000,0.8230708,0.8981491,0.07994832,0.025888417,0.00022581407,None,None,None
510000,0.84724885,0.8898291,0.08336744,0.022652578,0.0002242685,None,None,None
520000,0.90842396,0.873439,0.08037249,0.028550321,0.00022272291,None,None,None
530000,0.9100414,0.87472504,0.082386024,0.024673205,0.00022117732,None,None,None
540000,0.9152746,0.89822924,0.075914055,0.019167423,0.00021963163,None,None,None
550000,0.9076433,0.8981177,0.08536219,0.030335367,0.00021808608,None,None,None
560000,0.88518757,0.8911145,0.08075371,0.019300018,0.00021654047,None,None,None
570000,0.8716473,0.9137398,0.07347734,0.02697962,0.00021499491,None,None,None
580000,0.87833387,0.92940724,0.07318059,0.02331821,0.00021344933,None,None,None
590000,0.8700674,0.9238838,0.076301105,0.028250348,0.00021190372,None,None,None
600000,0.857236,0.9266521,0.07258133,0.025570638,0.00021035814,None,None,None
610000,0.842159,0.92567015,0.074643396,0.032356568,0.00020881245,None,None,None
620000,0.8922472,0.9318267,0.07171562,0.023328776,0.0002072714,1961.3760156716453,212280.0,1961.375975061208
630000,0.9447087,0.9174303,0.0676594,0.02669687,0.00020572584,None,None,None
640000,0.97374284,0.8889703,0.073863946,0.022182653,0.00020418024,None,None,None
