Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.0915161,0.711116074745535,87.85714285714286,0.44297004,0.7077297339832561
20000,1.0975186,0.8755773233007351,99.95876288659794,0.48264527,0.877734697254004
30000,1.0945851,0.9011666707871578,103.13541666666667,0.3766716,0.899242110519768
40000,1.0878361,1.024228265056002,105.98913043478261,0.41511396,1.0248709666675397
50000,1.0695118,1.2166117699063548,115.91764705882353,0.39094147,1.2305952684116728
60000,1.0423021,1.2571392459618045,122.0506329113924,0.42268518,1.2419500346368295
70000,1.0274124,1.3451309578168937,118.82142857142857,0.42782852,1.3612771198386326
80000,1.0153944,1.2990357197704725,116.80952380952381,0.44682613,1.2978690904939347
90000,0.96380824,1.75671642553235,146.22388059701493,0.5361299,1.757776155499672
100000,0.8977922,1.4006071490141385,115.57142857142857,0.5901645,1.3845059373292743
110000,0.885807,1.8468615465654203,150.8153846153846,0.6195942,1.8468615896623726
120000,0.9190728,1.8111212195856778,146.16666666666666,0.6212304,1.8111212454827954
130000,0.9169587,2.084344836861168,173.6206896551724,0.64724445,2.012017581658846
140000,0.88475597,1.770594210444909,140.6231884057971,0.6763479,1.8339714746888993
150000,0.8863569,1.6433513580925285,134.2027027027027,0.6356102,1.648780875247648
160000,0.89631826,1.9383174688204206,153.61904761904762,0.70074356,1.9275156630556012
170000,0.89601094,1.9307077011989,153.15384615384616,0.6606609,1.9602031740487291
180000,0.92105275,2.4356274623926,186.07843137254903,0.7019324,2.3896154401591048
190000,0.9353455,2.134877202429874,172.0,0.6785443,2.134877241600566
200000,0.9220873,2.1573559427022206,168.74576271186442,0.7070355,2.1573559621672573
210000,0.912326,1.9422419448045172,158.96774193548387,0.75681764,1.9422419555203598
220000,0.9206716,2.539620012035593,196.58,0.7560311,2.53962003801018
230000,0.9342125,2.5178333448000356,184.33333333333334,0.79095805,2.4954151641709275
240000,0.95071214,2.5299591959159518,199.3469387755102,0.7770191,2.5534800378978253
250000,0.92518586,2.1263666764619606,159.65,0.76201326,2.1263666904337395
260000,0.9111757,2.335571439874392,176.78571428571428,0.7821826,2.3355715034724978
270000,0.93524814,2.8274255456610957,212.7872340425532,0.7685271,2.8274255500130474
