Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
10000,1.08116,-3.5680437,0.15757317591044007,119.3780487804878,0.15757317892730055
20000,1.0916551,-2.8981316,0.25430380264916047,124.40506329113924,0.25430381560957505
30000,1.0887085,-2.3749032,0.46919753672957515,121.14814814814815,0.4691975216990636
40000,1.065729,-1.8635635,0.6886351422778003,133.2027027027027,0.6800548219287844
50000,1.0379256,-1.4143043,0.8554225431076369,135.11267605633802,0.861805566922865
60000,0.9853737,-1.15311,0.6188139608008029,112.29069767441861,0.6188139355698123
70000,0.9367166,-1.1208105,0.3375175493859212,87.47368421052632,0.337517515282359
80000,0.90976715,-0.969466,0.31590179129021373,87.50892857142857,0.31590176896133926
90000,0.9250041,-0.68197095,0.7449540308243113,113.39080459770115,0.7449540184147057
100000,0.9616732,-0.41577446,1.0965915589435944,137.5211267605634,1.0965915400941502
110000,0.9857536,-0.2702695,1.3455084855076305,168.57627118644066,1.3455084838067828
120000,0.97129554,-0.15798247,1.339200011518551,164.15,1.3608643815742205
130000,0.98058355,-0.0610723,1.2162333439763946,158.38333333333333,1.1972950892370255
140000,0.9946934,0.06409596,1.7578461670401828,194.78846153846155,1.7423726024434847
150000,1.0182737,0.1617078,1.5022156984960733,192.07843137254903,1.5223076991163766
160000,1.0134243,0.2584686,1.384490919966166,178.05454545454546,1.3844909806143153
170000,1.0025922,0.30820423,1.1354067897072884,166.05084745762713,1.1354067996144295
180000,0.9762696,0.29717797,2.0065434930881527,214.93478260869566,1.99320005559259
190000,0.9896976,0.3221979,1.7395106513806162,200.2127659574468,1.7575833288331826
200000,1.005883,0.39744014,1.1246428677799745,179.73214285714286,1.124642878105598
210000,1.0211085,0.38055772,1.232947378956484,175.08771929824562,1.2329474226163144
220000,1.0345722,0.35652554,0.9147586296994945,166.72413793103448,0.9147586535726642
230000,1.0042406,0.31142062,1.4064200118044392,196.44,1.4064200124144555
240000,0.96666306,0.25377858,2.152860480839885,229.0,2.1528604769602766
250000,0.90847653,0.3781178,2.112354182633377,206.58333333333334,2.1123541720832386
260000,0.9102422,0.37696558,2.0709347977029644,211.6304347826087,2.0709348060190678
270000,0.9196506,0.41071808,2.184069783313113,222.88372093023256,2.1840697786835737
280000,0.9494519,0.3896839,2.3204047795374034,242.45238095238096,2.320404802227304
290000,0.9646534,0.36154392,2.1539024553267376,239.97560975609755,2.2030750442761926
300000,0.97766733,0.32628065,2.716361130364627,271.69444444444446,2.6480001040004395
310000,0.947345,0.44681105,2.459615402108727,246.15384615384616,2.459615451641954
320000,0.9715717,0.5267779,2.0782500151084,206.4375,2.0782500187827586
330000,0.9784479,0.50162804,2.4604878229026617,238.609756097561,2.4604878384256508
340000,0.9654445,0.5667174,2.3673333498216897,235.5,2.367333389153438
350000,0.9817048,0.5389869,2.4523250184516656,247.3,2.4523249838501213
360000,0.96379817,0.56224924,2.0842766114139057,208.61702127659575,2.084276622834992
370000,0.9706729,0.4945143,2.5991842293879017,257.13157894736844,2.5991842139414265
380000,0.9719906,0.43888268,2.858277797440274,273.6666666666667,2.858277794232385
390000,0.9577497,0.4851752,2.9492777983088874,275.8333333333333,2.949277834087196
400000,0.95727324,0.6010081,2.6437692504125434,247.3846153846154,2.6437692613555837
410000,0.95696497,0.5733312,2.6845897623093036,253.4102564102564,2.6845897692255676
420000,0.9528342,0.5152227,2.7137179678807466,255.30769230769232,2.715236855879132
430000,0.9603087,0.57245135,2.4462790890721346,227.1627906976744,2.4510454844249496
440000,0.96196526,0.533844,2.3346511801125396,228.95348837209303,2.334651202656502
450000,0.93502086,0.57834864,2.6171282240971685,250.35897435897436,2.6171282701767407
460000,0.93973845,0.5984854,2.1357826249086824,211.69565217391303,2.135782632369386
470000,0.914309,0.6177474,2.4182954728603363,226.13636363636363,2.4182954262942076
480000,0.92948824,0.51499075,2.5955952567552836,231.88095238095238,2.5955952496400903
490000,0.92442316,0.56382746,2.4909318364966153,223.61363636363637,2.490931814875115
500000,0.92003995,0.5101794,3.350571451233035,282.3142857142857,3.3505714765616825
510000,0.9016181,0.59338194,2.695717968372031,252.35897435897436,2.6957179268774314
520000,0.88656783,0.5427347,2.977411785714246,284.11764705882354,2.977411811623503
530000,0.88080245,0.64615613,2.453707334798443,242.6341463414634,2.4537074282401945
540000,0.89079493,0.5942273,2.5525526499198015,255.8684210526316,2.5525526784752546
550000,0.8963301,0.59172827,2.625000018550939,263.3243243243243,2.625000079338615
560000,0.9066098,0.55300456,3.065176491351689,291.3235294117647,3.065176514497794
570000,0.9193126,0.6170832,2.7093158097398518,261.7631578947368,2.7093158502033665
580000,0.9188929,0.58971196,3.0246571644242586,275.8,3.024657226340579
590000,0.91830885,0.55635583,3.1713235523339414,292.20588235294116,3.171323587789255
600000,0.914669,0.5895201,3.2057941415936084,286.1470588235294,3.205794174443273
610000,0.9057508,0.6039496,2.8932162390052767,271.43243243243245,2.8932162060125455
620000,0.9157903,0.5462834,3.3295000239501378,287.47058823529414,3.3295000298496555
630000,0.9162939,0.56344885,3.32279414093971,287.94117647058823,3.322794179103392
640000,0.90971553,0.61106384,2.914914308026034,277.1142857142857,2.9149142637848855
650000,0.9216047,0.5268566,3.445000025180967,288.57142857142856,3.433941184378722
660000,0.91157675,0.6231639,2.8111282263416797,245.15384615384616,2.836374957114458
670000,0.91738534,0.57597846,2.5174091098068114,227.86363636363637,2.5174090799621562
680000,0.8997991,0.42948455,3.5860333579631214,323.43333333333334,3.5860333681106566
690000,0.9007913,0.46820068,3.4763939638311663,294.3939393939394,3.4763939787041056
700000,0.8821376,0.5290249,2.9258947590255717,264.57894736842104,2.9258947508948805
710000,0.8592462,0.53960276,3.081352963410181,288.5,3.08135297762997
720000,0.82860875,0.5844197,2.891029432323515,282.88235294117646,2.89102949355455
730000,0.82787025,0.5519781,3.12951430805094,282.8,3.129514308486666
740000,0.8617485,0.49657837,3.4969412011765493,293.79411764705884,3.4969412033610485
750000,0.862366,0.5504551,2.971868442558365,255.89473684210526,2.971868393158442
760000,0.85202223,0.6562074,2.4582666845190237,214.48888888888888,2.4582666306859915
770000,0.83559346,0.4945236,2.9426250212243756,253.625,3.014384606280006
780000,0.81974614,0.4998411,3.5424375239563233,301.28125,3.4394546223127027
790000,0.8607776,0.4879362,3.7354545705514313,302.54545454545456,3.7348125732969493
800000,0.84041363,0.49345416,3.709064541553568,307.61290322580646,3.7105313807260245
810000,0.8534113,0.4908292,3.3632222464851416,279.80555555555554,3.3632222554749913
820000,0.84467167,0.5133656,3.5112812748884608,304.5625,3.5112813347950578
830000,0.84512156,0.5513269,3.404484872297017,297.3636363636364,3.40448485924439
840000,0.8316279,0.57435286,3.185571451199108,284.65714285714284,3.1855714677433884
850000,0.8101739,0.6359665,3.140794140053913,287.05882352941177,3.140794174197842
860000,0.81377965,0.6113938,2.7029189381534486,265.27027027027026,2.702919052863443
870000,0.84042716,0.5765236,2.98562859210984,280.4,2.985628586967609
880000,0.85346705,0.5548603,3.449181841457065,298.969696969697,3.4491818278576387
890000,0.86693364,0.51962066,3.638531273798435,308.4375,3.6385313432547264
900000,0.8618691,0.60241365,3.2439714515980866,282.8,3.227882396429777
910000,0.8722916,0.6015783,2.8620513026327945,249.02564102564102,2.8852750157937406
920000,0.86432225,0.49306747,3.629562525144138,308.65625,3.6295625616330653
930000,0.87032956,0.54745734,3.024736864222704,259.44736842105266,3.1030540518664025
940000,0.86291593,0.5164338,3.3835454785166252,287.90909090909093,3.287764632321127
950000,0.85125285,0.5443565,3.1363243467262567,272.64864864864865,3.1363243464179136
