Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
4037000,1.309155,0.8962704,None,None,None
4038000,1.2684875,0.91460425,10.663500060793012,770.5,10.663500225171447
4039000,1.3190545,0.8743247,22.39300012215972,1475.0,22.39300075918436
4040000,1.2847075,0.91996145,None,None,None
4041000,1.2975013,0.91210926,22.350000128964894,1476.0,22.350000016391277
4042000,1.306505,0.8712836,22.243000104674138,1476.0,22.243000835180283
4043000,1.3016434,0.8570896,None,None,None
4044000,1.2962492,0.83418584,22.188000113819726,1476.0,22.18800061941147
4045000,1.2660158,0.8567186,22.153000116581097,1476.0,22.152999587357044
4046000,1.3368895,0.8182291,None,None,None
4047000,1.3486603,0.87390083,22.03500011865981,1476.0,22.035000383853912
4048000,1.2956574,0.8702271,22.20700011542067,1476.0,22.207000359892845
4049000,1.3120937,0.8899027,None,None,None
4050000,1.3207853,0.8185196,21.19500010786578,1476.0,21.195000156760216
4051000,1.3534813,0.82625014,21.03800011309795,1476.0,21.03799945861101
4052000,1.2828562,0.9390681,11.42900006507989,882.0,11.428999230265617
4053000,1.318784,0.8614199,None,None,None
4054000,1.3083352,0.8903357,22.257000122917816,1463.0,22.257000032812357
4055000,1.3148937,0.88108206,22.274000111152418,1476.0,22.27400004863739
4056000,1.3130007,0.8708636,None,None,None
4057000,1.3020897,0.8371795,13.189000074460637,942.0,13.189000438898802
4058000,1.3025682,0.92925763,22.188000119640492,1461.0,22.18799974769354
4059000,1.31623,0.8457244,None,None,None
4060000,1.2891065,0.8458234,22.09400012588594,1476.0,22.093999691307545
4061000,1.3182766,0.8470874,21.23300012049731,1476.0,21.23300026357174
4062000,1.3188095,0.89828,None,None,None
4063000,1.3156217,0.885799,22.17100011347793,1476.0,22.17100028693676
4064000,1.3110586,0.8481664,22.17000012344215,1476.0,22.17000036686659
4065000,1.3290001,0.9065559,None,None,None
4066000,1.3203306,0.82157564,22.11500011116732,1476.0,22.114999797195196
4067000,1.3200893,0.863104,10.661500058078673,765.0,21.212999761104584
4068000,1.3279309,0.8007872,None,None,0.10999977588653564
4069000,1.2897171,0.8436706,10.610500064794905,770.0,10.610499871894717
4070000,1.3140872,0.8983247,None,None,None
4071000,1.353751,0.87885636,22.123000111430883,1471.0,22.122999787330627
4072000,1.2892079,0.8794886,22.367000117432326,1476.0,22.367000326514244
4073000,1.3327695,0.8717079,None,None,None
4074000,1.3290595,0.79249096,22.194000112824142,1476.0,22.194000340998173
4075000,1.333508,0.8587002,20.957000110065565,1476.0,20.9570010304451
4076000,1.3342943,0.7822456,None,None,None
4077000,1.2787262,0.9143393,21.082000126945786,1476.0,21.08200004696846
4078000,1.2804654,0.8717005,17.595000101136975,1286.0,17.594999939203262
4079000,1.3343966,0.8497271,21.080000117071904,1469.0,21.079999953508377
4080000,1.3376149,0.8226365,1.5040000090375543,231.0,1.5040002912282944
4081000,1.3139368,0.82295674,13.906000094139017,1045.0,13.905999891459942
4082000,1.3084891,0.84508204,21.068000128376298,1463.0,21.06800041347742
4083000,1.3089871,0.8767877,None,None,None
4084000,1.3537226,0.87392396,22.174000116996467,1476.0,22.173999562859535
