Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
4044000,1.2321165,1.1009399,11.353000066359527,804.0,11.353000283241272
4045000,1.288681,1.0769892,21.25200011068955,1470.0,None
4046000,1.1384746,1.0834806,3.226000019349158,290.0,9.234666928648949
4047000,1.2369326,1.1354117,10.042000056710094,746.0,10.042000204324722
4048000,1.2496405,1.0232595,21.03700012038462,1460.0,21.036999367177486
4049000,1.2529199,1.1048696,None,None,None
4050000,1.2521814,1.0795729,21.081000112346373,1476.0,21.081000447273254
4051000,1.2077713,1.0704066,12.634000080870464,927.0,12.633999913930893
4052000,1.2955219,1.15782,22.16700011852663,1468.0,22.166999652981758
4053000,1.2775962,1.0767717,None,None,None
4054000,1.151125,1.0905985,8.905000052356627,681.5,8.905000157654285
4055000,1.1981845,1.0749176,11.874500064644963,849.5,11.874500054866076
4056000,1.2558148,1.1133423,None,None,None
4057000,1.2989265,1.1503884,21.272000116412528,1463.0,21.272000201046467
4058000,1.2548182,1.0950354,21.294000119669363,1476.0,21.293999798595905
4059000,1.2705829,1.091939,None,None,None
4060000,1.1358856,1.0744345,11.161000063002575,777.0,11.161000160500407
4061000,1.2529457,1.1563219,11.447000071406364,908.0,11.447000160813332
4062000,1.1853684,1.0778979,21.23800012166612,1473.0,21.237999826669693
4063000,1.2336043,1.0812314,None,None,None
4064000,1.2417532,1.1103756,22.259000111138448,1476.0,22.259000569581985
4065000,1.1315602,1.0979772,5.189500033098739,464.5,5.189500115811825
4066000,1.231185,1.1214215,10.60750005824957,770.5,10.607499726116657
4067000,1.2740759,1.1009996,None,None,None
4068000,1.1920048,1.0587524,22.0980001098942,1464.0,22.09800000861287
4069000,1.3033392,1.0946825,22.3410001170123,1476.0,22.34100040793419
4070000,1.2452463,1.1355356,None,None,None
4071000,1.2747548,1.1233562,21.145000108517706,1476.0,21.144999608397484
4072000,1.2577059,1.1514343,8.618000048445538,640.0,8.618000112473965
4073000,1.2656529,1.1222008,13.685500075400341,951.5,13.685499601066113
4074000,1.2620583,1.1888709,None,None,None
4075000,1.2638854,1.1601756,22.4000001270324,1474.0,22.399999640882015
4076000,1.2167828,1.1264285,7.687000046600588,627.0,7.6869998425245285
4077000,1.2757219,1.1411085,22.310000114375725,1472.0,22.31000053882599
4078000,1.2705529,1.1355833,None,None,None
4079000,1.2717086,1.10002,20.060000114841387,1446.0,20.060000032186508
4080000,1.2484145,1.1736228,21.323000122909434,1474.0,21.322999641299248
4081000,1.2498857,1.1639906,13.666000072145835,920.0,13.666000455617905
4082000,1.2350515,1.056787,13.867000078898855,1031.0,13.867000013589859
4083000,1.2142142,1.0482959,15.070000090403482,1099.0,15.070000603795052
4084000,1.2634385,1.11937,None,None,None
4085000,1.1233404,1.0456837,6.931250040361192,521.25,6.931249988265336
4086000,1.2916074,1.1514106,None,None,None
4087000,1.0820197,1.1227481,6.929500039637787,516.25,6.92950014770031
4088000,1.2608347,1.126514,None,None,None
