Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
4073000,1.4905946,0.8239309,25.48500012641307,1463.0,25.48499944806099
4074000,1.4793155,0.84302324,23.54100013070274,1476.0,23.540999963879585
4075000,1.5066028,0.8208759,None,None,None
4076000,1.4798276,0.8260887,16.219500096864067,1035.0,16.21949891746044
4077000,1.5042607,0.84003186,None,None,None
4078000,1.4958329,0.8197396,23.536000135703944,1472.0,23.53599926829338
4079000,1.4828002,0.8197158,8.918000051751733,638.0,8.918000519275665
4080000,1.5144783,0.8341449,24.541000126395375,1461.0,24.54099978879094
4081000,1.4967045,0.8067196,None,None,None
4082000,1.5128435,0.8267621,24.693000139086507,1476.0,24.692999750375748
4083000,1.4752413,0.8118613,25.80300014920067,1476.0,25.80299924314022
4084000,1.5028571,0.800712,None,None,None
4085000,1.4996319,0.8376827,23.4940001310315,1476.0,23.494000121951103
4086000,1.490191,0.83102095,24.66200013528578,1476.0,24.661999568343163
4087000,1.4622195,0.87562114,None,None,None
4088000,1.508816,0.842448,25.600000123144127,1476.0,25.599999949336052
4089000,1.4839971,0.7883444,24.683000136516057,1476.0,24.683000400662422
4090000,1.4792,0.80087113,None,None,None
4091000,1.5019249,0.82741195,23.474000138929114,1476.0,23.473999239504337
4092000,1.454906,0.850517,24.678000127198175,1476.0,24.677999764680862
4093000,1.4902747,0.828963,None,None,None
4094000,1.4672104,0.8549259,24.561000138754025,1476.0,24.56099882721901
4095000,1.4789428,0.8058557,24.61200014059432,1476.0,24.611998558044434
4096000,1.5034174,0.82135326,None,None,None
4097000,1.5079774,0.82432103,14.354000084567815,927.0,14.353999949991703
4098000,1.5026411,0.79907656,23.562000138452277,1475.0,23.561999537050724
4099000,1.4903151,0.84470904,None,None,None
4100000,1.5045352,0.81326085,21.249000113690272,1365.0,21.249000415205956
4101000,1.4669943,0.7617357,24.63200013653841,1472.0,24.63199907541275
4102000,1.4787977,0.83519095,None,None,None
4103000,1.473923,0.8012672,24.691000128164887,1476.0,24.69099932909012
4104000,1.4536908,0.8201665,24.558000127668492,1476.0,24.557999581098557
4105000,1.5063697,0.839833,None,None,None
4106000,1.4948459,0.8487334,24.62700013909489,1476.0,24.62699903547764
4107000,1.517078,0.8338109,23.626000132760964,1476.0,23.626000180840492
4108000,1.4807093,0.8065166,None,None,None
4109000,1.490818,0.82150155,24.61100013135001,1476.0,24.610999807715416
4110000,1.4857545,0.8162105,24.622000134084374,1476.0,24.621999010443687
4111000,1.4965974,0.8240336,None,None,None
4112000,1.4764445,0.83649594,24.655000139260665,1476.0,24.654998883605003
4113000,1.4734875,0.8484631,25.70600014424417,1476.0,25.705998972058296
4114000,1.4794567,0.8102225,None,None,None
4115000,1.5184699,0.81438255,24.601000133203343,1476.0,24.60100057721138
4116000,1.4926351,0.80230236,24.58400013623759,1476.0,24.583999142050743
4117000,1.5059493,0.8100571,None,None,None
4118000,1.4674569,0.8257765,24.616000134614296,1476.0,24.616000056266785
4119000,1.4857008,0.88029784,21.123000125400722,1304.0,21.122999995946884
4120000,1.4874089,0.8349992,None,None,None
4121000,1.5337145,0.8164233,24.62200014060363,1468.0,24.621999137103558
4122000,1.4744754,0.84326136,25.686000141547993,1476.0,25.685999616980553
4123000,1.5108836,0.8289436,None,None,None
4124000,1.4858569,0.8367869,24.585000134888105,1476.0,24.585000425577164
4125000,1.4903661,0.84398186,25.636000132770278,1476.0,25.635999768972397
4126000,1.5194713,0.8252062,None,None,None
4127000,1.5014385,0.84264076,23.574000127846375,1476.0,23.573999658226967
4128000,1.4801044,0.83457744,24.718000137014315,1476.0,24.71799934655428
4129000,1.512517,0.8112395,19.99100011738483,1300.0,19.990999191999435
4130000,1.4788717,0.8254064,None,None,None
4131000,1.490378,0.8198378,23.589000133797526,1472.0,23.58899962902069
4132000,1.5000266,0.8526508,12.91050007432932,764.0,25.69199912250042
4133000,1.4934974,0.81501603,None,None,0.12900018692016602
4134000,1.4821792,0.81843954,23.550000122515485,1473.0,23.549999922513962
4135000,1.4991549,0.83049864,None,None,None
4136000,1.5137832,0.8451962,24.599000131362118,1476.0,24.598999813199043
4137000,1.4742281,0.84245324,25.68000014068093,1476.0,25.679999604821205
4138000,1.4605775,0.8046488,11.014000058174133,672.0,11.013999477028847
4139000,1.5273029,0.8232208,24.472000119276345,1459.0,24.471999898552895
4140000,1.4743619,0.8248297,15.941000086022541,940.0,15.940999448299408
4141000,1.5057348,0.80233103,None,None,None
4142000,1.4841702,0.864812,24.553000132087618,1471.0,24.553000569343567
4143000,1.5186441,0.8466275,25.592000137548894,1476.0,25.59199932217598
4144000,1.4999654,0.8195243,18.737000105786137,1217.0,18.736999079585075
4145000,1.5278144,0.81425476,None,None,None
4146000,1.5080519,0.85116464,24.69700013718102,1473.0,24.6969992518425
4147000,1.5257589,0.8634612,23.580000141169876,1476.0,23.579999819397926
4148000,1.501101,0.81504357,None,None,None
4149000,1.5045736,0.84198207,16.144500093418173,998.5,16.14449943602085
4150000,1.5100747,0.8318902,None,None,None
4151000,1.4799418,0.7991244,25.613000137964264,1462.0,25.61299955844879
4152000,1.4877226,0.82669944,25.65000013250392,1476.0,25.649999178946018
4153000,1.5135243,0.80246615,None,None,None
4154000,1.5066152,0.839244,24.58900013193488,1476.0,24.589000582695007
4155000,1.5486687,0.84395164,24.64800012880005,1476.0,24.64799989759922
4156000,1.5192043,0.8191241,None,None,None
4157000,1.5138223,0.84048283,17.541000106488355,1157.0,17.540999993681908
4158000,1.508191,0.84242016,17.3210000974359,1055.0,17.32099962234497
4159000,1.4894457,0.8098505,24.69600013748277,1462.0,24.695999138057232
4160000,1.5037354,0.8229029,None,None,None
4161000,1.5062816,0.8109955,24.62200013489928,1476.0,24.62199927866459
4162000,1.5108452,0.81402797,24.548000139417127,1476.0,24.547999069094658
4163000,1.5138323,0.82824934,10.111000060918741,680.0,10.11099922657013
4164000,1.5041788,0.8307514,21.10100011632312,1331.0,21.100999876856804
4165000,1.5350755,0.826005,None,None,None
4166000,1.4901574,0.8396194,24.577000135555863,1465.0,24.577000215649605
4167000,1.522759,0.8522915,7.151333379559219,486.6666666666667,7.151333123445511
4168000,1.4982727,0.85149825,18.694000113988295,1197.0,18.6939989477396
4169000,1.5296191,0.8213289,11.187000061036088,715.0,11.187000155448914
4170000,1.5281367,0.8292959,None,None,None
4171000,1.5140092,0.8371297,23.516000132309273,1465.0,23.515999667346478
4172000,1.5347126,0.82585424,25.644000146072358,1476.0,25.6439990401268
4173000,1.5147005,0.77905196,None,None,None
4174000,1.5228065,0.822968,23.53800013032742,1476.0,23.537999235093594
4175000,1.5291067,0.79335386,24.689000140991993,1476.0,24.688999444246292
4176000,1.506222,0.8383105,None,None,None
4177000,1.5155402,0.83081275,24.648000139859505,1476.0,24.64799989759922
4178000,1.4968977,0.8688764,14.923000081267674,928.0,14.922999754548073
4179000,1.5130521,0.8425846,None,None,None
4180000,1.4735556,0.81665003,25.72000014677178,1473.0,25.71999829262495
4181000,1.4777703,0.8681847,24.63200013001915,1476.0,24.63199958205223
4182000,1.514795,0.8224068,None,None,None
4183000,1.5180818,0.8231129,23.609000126365572,1476.0,23.608999148011208
4184000,1.5239503,0.84687424,24.60200013720896,1476.0,24.60199922323227
4185000,1.525501,0.829046,None,None,None
4186000,1.5078106,0.8044124,25.654000137001276,1476.0,25.653999894857407
4187000,1.5173135,0.81093776,24.65200013271533,1476.0,24.651999682188034
4188000,1.5014153,0.8326786,None,None,None
4189000,1.4773457,0.8337669,12.418000072822906,780.0,12.417999546974897
4190000,1.4724835,0.8632169,10.064500062086154,662.5,10.064499728381634
4191000,1.502358,0.8512587,None,None,None
4192000,1.5065389,0.76387334,24.541000140015967,1460.0,24.540999349206686
4193000,1.4873623,0.85815066,17.29500009480398,1047.0,17.29499927163124
4194000,1.4778388,0.7814965,23.43100012501236,1462.0,23.430999975651503
4195000,1.4454155,0.8594226,2.6910000153584406,252.0,2.6910000443458557
4196000,1.5196722,0.8224023,16.233000096166506,1064.0,16.23299990594387
4197000,1.4760685,0.84581643,13.131000077351928,853.5,23.589999228715897
4198000,1.4869874,0.8362434,14.808000082732178,909.0,8.739999704062939
4199000,1.477671,0.8332905,6.339000041480176,441.0,6.33899986743927
4200000,1.4964674,0.81922245,23.52900012943428,1464.0,23.528999395668507
4201000,1.4765074,0.8242394,None,None,None
4202000,1.4710267,0.8118268,24.673000127309933,1476.0,24.672998279333115
4203000,1.5156877,0.8195257,20.136000119848177,1337.0,20.13600018620491
4204000,1.4861907,0.82597476,None,None,None
4205000,1.4662399,0.844056,25.596000145655125,1467.0,25.59599830210209
4206000,1.5038342,0.8163208,24.602000132901594,1476.0,24.60199874639511
4207000,1.4809848,0.8582783,None,None,None
4208000,1.4452094,0.83368737,24.606000133324414,1476.0,24.60599911212921
4209000,1.4639657,0.8356654,25.728000152972527,1476.0,25.727998077869415
4210000,1.4990505,0.79797417,None,None,None
4211000,1.4619094,0.85427886,24.59700013080146,1476.0,24.596999116241932
4212000,1.5128634,0.8309655,24.62600013066549,1476.0,24.62599904835224
4213000,1.4793316,0.8600885,None,None,None
4214000,1.4807402,0.84710556,24.664000142016448,1476.0,24.663999281823635
4215000,1.4737034,0.83454275,25.776000147568993,1476.0,25.775999829173088
4216000,1.5016074,0.8265976,None,None,None
4217000,1.5025177,0.826981,24.535000129486434,1476.0,24.534999445080757
4218000,1.4894168,0.804869,20.14000012492761,1326.0,20.139999717473984
4219000,1.5071669,0.819381,None,None,None
4220000,1.456475,0.81767535,24.591000134474598,1461.0,24.590999998152256
4221000,1.5179594,0.8282531,25.789000150747597,1476.0,25.788998648524284
4222000,1.4841676,0.8411441,None,None,None
4223000,1.4944355,0.8379432,24.710000141407363,1476.0,24.709999412298203
4224000,1.4739754,0.8297685,24.577000130317174,1476.0,24.576999962329865
4225000,1.5152841,0.8395403,None,None,None
4226000,1.4802634,0.8048203,25.659000138519332,1476.0,25.658999890089035
4227000,1.489494,0.8532011,24.62700014479924,1476.0,24.626999229192734
4228000,1.4943727,0.8308767,None,None,None
4229000,1.512173,0.8622098,25.64800013380591,1476.0,25.64800016582012
4230000,1.4980636,0.82744074,25.686000142013654,1476.0,25.685998164117336
4231000,1.5008401,0.82618004,None,None,None
4232000,1.4944086,0.84581876,24.641000129748136,1476.0,24.640999272465706
4233000,1.4869634,0.81378835,24.761000150698237,1476.0,24.760999500751495
4234000,1.5171597,0.8117414,None,None,None
4235000,1.5041859,0.8515832,23.511000127415173,1476.0,23.510999530553818
4236000,1.5026438,0.81546825,25.54500013345387,1476.0,25.544998988509178
4237000,1.5092885,0.8058276,None,None,None
4238000,1.5022049,0.831346,24.557000125409104,1476.0,24.556999444961548
4239000,1.520036,0.80611604,16.157000086386688,996.0,16.1569991260767
4240000,1.475146,0.82582307,23.56500013009645,1464.0,23.56499868258834
4241000,1.5125723,0.82422364,12.320000069215894,735.0,12.3199994713068
4242000,1.5130563,0.80919075,23.573000124422833,1463.0,23.572999957948923
4243000,1.5084198,0.8528055,12.520000078715384,817.0,12.51999868452549
4244000,1.5045682,0.834154,None,None,None
4245000,1.508337,0.83076817,24.543000133358873,1462.0,24.542998507618904
4246000,1.501574,0.83926505,25.63700014585629,1476.0,25.636999517679214
4247000,1.4956406,0.8493717,21.157000117353164,1306.0,21.1569991260767
4248000,1.505517,0.8588308,None,None,None
4249000,1.4729575,0.80400777,25.690000137430616,1466.0,25.68999909237027
4250000,1.509631,0.83991146,23.50800013076514,1443.0,23.507999449968338
4251000,1.5062845,0.80613315,None,None,None
4252000,1.4686999,0.86169237,24.601000139140524,1460.0,24.600999400019646
4253000,1.5100992,0.82707465,23.56500013382174,1476.0,23.564998760819435
4254000,1.4833438,0.83804005,3.9220000265631825,302.0,3.9219995588064194
4255000,1.5183744,0.8421242,11.944000068993773,789.5,11.944000167772174
4256000,1.5181429,0.8062149,None,None,None
4257000,1.4381361,0.8298015,24.612000132910907,1464.0,24.611999053508043
4258000,1.538173,0.79499567,24.497000135830604,1476.0,24.49699929356575
4259000,1.5024028,0.8207352,None,None,None
4260000,1.5111774,0.82790506,24.595000137225725,1476.0,24.594999477267265
4261000,1.5028043,0.8273839,22.305000124848448,1363.0,22.305000260472298
4262000,1.5244154,0.80211383,None,None,None
4263000,1.4971575,0.80617064,23.463000132120214,1474.0,23.462999440729618
4264000,1.49258,0.81392443,14.1240000759135,851.5,14.123999655246735
4265000,1.5069021,0.8163688,None,None,None
4266000,1.4505819,0.80474985,23.530000134836882,1462.0,23.5299998447299
4267000,1.5377395,0.8471359,23.56300012988504,1476.0,23.56300028041005
4268000,1.477381,0.84763527,None,None,None
4269000,1.5248666,0.8316831,14.93500008439878,965.0,14.935000330209732
4270000,1.4924018,0.81613505,None,None,None
4271000,1.4628475,0.8291653,24.521000126376748,1464.0,24.521000243723392
4272000,1.5036838,0.8413138,24.729000145220198,1476.0,24.72899939119816
4273000,1.4864566,0.8260865,None,None,None
4274000,1.5197902,0.8295458,25.620000126305968,1476.0,25.619998678565025
4275000,1.5183944,0.845679,23.59600014053285,1476.0,23.59599842131138
4276000,1.5002842,0.8403429,None,None,None
4277000,1.5059919,0.82526064,24.64500013308134,1476.0,24.6449998319149
4278000,1.4947966,0.8245113,23.616000132635236,1476.0,23.616000324487686
4279000,1.5091147,0.819164,None,None,None
4280000,1.513623,0.8046716,14.847500084375497,895.0,14.847499132156372
4281000,1.4931991,0.8323543,None,None,None
4282000,1.5109589,0.7945225,24.651000131038018,1474.0,24.650999695062637
4283000,1.5191385,0.831126,24.59300012968015,1476.0,24.593000188469887
4284000,1.4893391,0.83356506,None,None,None
4285000,1.5120368,0.83437526,24.697000130312517,1476.0,24.69699916243553
4286000,1.5181098,0.85750103,22.47100012737792,1437.0,22.470999494194984
4287000,1.4882846,0.82980734,None,None,None
4288000,1.5190418,0.7984135,24.623000140767545,1466.0,24.62300045788288
4289000,1.4755044,0.84675235,23.62500013166573,1476.0,23.624999329447746
4290000,1.5211806,0.8190107,None,None,None
4291000,1.5056733,0.8308812,24.595000138739124,1476.0,24.595000565052032
4292000,1.4981357,0.82190853,15.441500085114967,951.5,24.61399967968464
4293000,1.5065575,0.8049653,None,None,6.268999814987183
4294000,1.4889065,0.8245079,23.46200012927875,1475.0,23.461998514831066
4295000,1.5088142,0.80283153,24.64700013305992,1476.0,None
4296000,1.5005286,0.85346085,None,None,24.647000342607498
4297000,1.5152175,0.83325046,24.586000139592215,1476.0,24.586000010371208
4298000,1.5266314,0.7948512,24.615000133402646,1476.0,None
4299000,1.5119828,0.80834836,None,None,24.614999532699585
4300000,1.511657,0.82095027,25.609000140451826,1476.0,25.608999595046043
